pillar,seed,collapse_rate,intervene_rate
STEM,75,0.06510416666666667,0.3567708333333333
STEM,61,0.044270833333333336,0.34375
STEM,49,0.0390625,0.3463541666666667
STEM,48,0.057291666666666664,0.3463541666666667
STEM,60,0.057291666666666664,0.359375
STEM,299,0.044270833333333336,0.3463541666666667
STEM,74,0.044270833333333336,0.3489583333333333
STEM,272,0.09635416666666667,0.3776041666666667
STEM,266,0.052083333333333336,0.34375
STEM,460,0.0625,0.3671875
STEM,306,0.046875,0.3515625
STEM,312,0.033854166666666664,0.3489583333333333
STEM,474,0.06510416666666667,0.3463541666666667
STEM,448,0.036458333333333336,0.3515625
STEM,104,0.07291666666666667,0.3515625
STEM,110,0.07291666666666667,0.359375
STEM,138,0.049479166666666664,0.3489583333333333
STEM,135,0.049479166666666664,0.3515625
STEM,121,0.109375,0.3802083333333333
STEM,109,0.078125,0.3619791666666667
STEM,1,0.052083333333333336,0.3489583333333333
STEM,451,0.0390625,0.3385416666666667
STEM,337,0.078125,0.3541666666666667
STEM,323,0.0546875,0.3463541666666667
STEM,445,0.044270833333333336,0.3463541666666667
STEM,479,0.057291666666666664,0.3619791666666667
STEM,492,0.046875,0.3489583333333333
STEM,486,0.044270833333333336,0.3359375
STEM,243,0.046875,0.3567708333333333
STEM,257,0.044270833333333336,0.3489583333333333
STEM,92,0.046875,0.3489583333333333
STEM,86,0.0234375,0.3359375
STEM,280,0.07552083333333333,0.3541666666666667
STEM,294,0.044270833333333336,0.3463541666666667
STEM,79,0.049479166666666664,0.3515625
STEM,51,0.046875,0.3515625
STEM,45,0.078125,0.3645833333333333
STEM,44,0.059895833333333336,0.3567708333333333
STEM,50,0.044270833333333336,0.3463541666666667
STEM,295,0.0546875,0.3515625
STEM,78,0.0703125,0.359375
STEM,281,0.036458333333333336,0.3489583333333333
STEM,87,0.0546875,0.3515625
STEM,93,0.020833333333333332,0.3385416666666667
STEM,256,0.049479166666666664,0.3541666666666667
STEM,242,0.0703125,0.3541666666666667
STEM,487,0.041666666666666664,0.34375
STEM,493,0.020833333333333332,0.3411458333333333
STEM,478,0.057291666666666664,0.3567708333333333
STEM,322,0.0625,0.3463541666666667
STEM,444,0.041666666666666664,0.34375
STEM,450,0.13802083333333334,0.375
STEM,336,0.0546875,0.3515625
STEM,0,0.0703125,0.3489583333333333
STEM,108,0.052083333333333336,0.3515625
STEM,120,0.028645833333333332,0.3385416666666667
STEM,134,0.057291666666666664,0.3515625
STEM,122,0.0546875,0.34375
STEM,136,0.015625,0.3359375
STEM,2,0.0546875,0.3489583333333333
STEM,446,0.041666666666666664,0.34375
STEM,320,0.026041666666666668,0.34375
STEM,334,0.059895833333333336,0.3515625
STEM,452,0.015625,0.3385416666666667
STEM,308,0.049479166666666664,0.34375
STEM,485,0.06510416666666667,0.3463541666666667
STEM,491,0.052083333333333336,0.3463541666666667
STEM,254,0.057291666666666664,0.3489583333333333
STEM,240,0.049479166666666664,0.34375
STEM,85,0.046875,0.34375
STEM,268,0.033854166666666664,0.3489583333333333
STEM,91,0.0546875,0.34375
STEM,297,0.036458333333333336,0.3489583333333333
STEM,283,0.09375,0.375
STEM,46,0.08333333333333333,0.3541666666666667
STEM,52,0.0703125,0.359375
STEM,53,0.059895833333333336,0.3619791666666667
STEM,47,0.041666666666666664,0.3489583333333333
STEM,282,0.044270833333333336,0.3489583333333333
STEM,296,0.033854166666666664,0.3411458333333333
STEM,90,0.049479166666666664,0.3489583333333333
STEM,84,0.049479166666666664,0.3567708333333333
STEM,269,0.018229166666666668,0.3385416666666667
STEM,241,0.06510416666666667,0.3541666666666667
STEM,255,0.057291666666666664,0.3541666666666667
STEM,490,0.0390625,0.3411458333333333
STEM,484,0.041666666666666664,0.3411458333333333
STEM,309,0.06770833333333333,0.3619791666666667
STEM,335,0.07291666666666667,0.359375
STEM,453,0.07291666666666667,0.359375
STEM,447,0.044270833333333336,0.3489583333333333
STEM,321,0.052083333333333336,0.3515625
STEM,3,0.08333333333333333,0.3515625
STEM,137,0.06510416666666667,0.3541666666666667
STEM,123,0.0234375,0.3359375
STEM,127,0.057291666666666664,0.3515625
