exp_id,mode,pillar,seed,model_id,prompt_id,collapse_run,collapse_reason,core_collapse_run,core_collapse_reason,budget_exhausted,collapse_core,collapse_core_reason,stop_aux,stop_aux_reason,intervene_bin,n_tokens_total,n_interventions,intervene_density,H_pre,runtime_sec,extra_tokens_due_to_intervention
vNEXT-RE30,controlled,HUM,16,gpt2,16,0,NONE,0,NONE,0,0,NONE,0,NONE,1,530,36,0.06792452830188679,85.0,39.56621193885803,43.0
vNEXT-RE30,controlled,HUM,17,gpt2,17,0,NONE,0,NONE,0,0,NONE,0,NONE,1,532,80,0.15037593984962405,77.0,32.354373931884766,61.0
vNEXT-RE30,controlled,HUM,18,gpt2,18,0,NONE,0,NONE,0,0,NONE,0,NONE,1,530,34,0.06415094339622641,107.0,37.10243272781372,19.0
vNEXT-RE30,controlled,HUM,19,gpt2,19,0,NONE,0,NONE,0,0,NONE,0,NONE,1,532,7,0.013157894736842105,229.0,42.846468925476074,0.0
vNEXT-RE30,controlled,HUM,20,gpt2,20,0,NONE,0,NONE,0,0,NONE,0,NONE,1,529,37,0.06994328922495274,60.0,32.83160972595215,37.0
vNEXT-RE30,controlled,HUM,21,gpt2,21,0,NONE,0,NONE,0,0,NONE,0,NONE,1,535,41,0.07663551401869159,240.0,34.61445999145508,0.0
vNEXT-RE30,controlled,HUM,22,gpt2,22,0,NONE,0,NONE,0,0,NONE,0,NONE,1,530,46,0.08679245283018867,123.0,32.81968688964844,13.0
vNEXT-RE30,controlled,HUM,23,gpt2,23,0,NONE,0,NONE,0,0,NONE,0,NONE,1,533,48,0.0900562851782364,88.0,35.353266954422,39.0
vNEXT-RE30,controlled,HUM,24,gpt2,24,0,NONE,0,NONE,0,0,NONE,0,NONE,1,536,72,0.13432835820895522,81.0,33.91501712799072,64.0
vNEXT-RE30,controlled,HUM,25,gpt2,25,0,NONE,0,NONE,0,0,NONE,0,NONE,1,543,23,0.0423572744014733,211.0,35.290443897247314,0.0
vNEXT-RE30,controlled,HUM,26,gpt2,26,0,NONE,0,NONE,0,0,NONE,0,NONE,1,504,44,0.0873015873015873,161.0,31.11325693130493,0.0
vNEXT-RE30,controlled,HUM,27,gpt2,27,0,NONE,0,NONE,0,0,NONE,0,NONE,1,530,1,0.0018867924528301887,454.0,47.82019305229187,0.0
